label,r,lag,start_index,state,count,sum_S2p,sum_S2m,sum_S2pm
cube320_t0022,48,1,0,HS,2290.0,2503.556719922672,3121.375357648632,2484.5567463016405
cube320_t0022,48,1,0,HL,710.0,693.6242777039892,847.0920805367357,677.2412371177068
cube320_t0022,48,2,0,B,27000.0,6942.995984795572,10458.777893435281,6786.8781767539695
cube320_t0022,48,2,0,HS,2290.0,2503.556719922672,3121.375357648632,2484.5567463016405
cube320_t0022,48,2,0,HL,710.0,693.6242777039892,847.0920805367357,677.2412371177068
cube320_t0022,48,4,0,B,27000.0,6942.995984795572,10458.777893435281,6786.8781767539695
cube320_t0022,48,4,0,HS,2290.0,2503.556719922672,3121.375357648632,2484.5567463016405
cube320_t0022,48,4,0,HL,710.0,693.6242777039892,847.0920805367357,677.2412371177068
cube320_t0022,48,1,1,B,27000.0,6925.894347860039,10305.906843430534,6646.669785526706
cube320_t0022,48,1,1,HS,2292.0,2570.985179394017,2949.8994924150247,2424.627328663809
cube320_t0022,48,1,1,HL,708.0,681.9306030857622,835.323718183918,660.6157597732782
cube320_t0022,48,2,1,B,27000.0,6925.894347860039,10305.906843430534,6646.669785526706
cube320_t0022,48,2,1,HS,2292.0,2570.985179394017,2949.8994924150247,2424.627328663809
cube320_t0022,48,2,1,HL,708.0,681.9306030857622,835.323718183918,660.6157597732782
cube320_t0022,48,1,2,B,27000.0,6774.817571322105,10726.157361357129,6748.578210604569
cube320_t0022,48,1,2,HS,2274.0,2551.9166999914946,3106.701475104137,2472.766535754214
cube320_t0022,48,1,2,HL,726.0,673.824056188873,948.5809683529866,700.9996122746127
cube320_t0022,48,2,2,B,27000.0,6774.817571322105,10726.157361357129,6748.578210604569
cube320_t0022,48,2,2,HS,2274.0,2551.9166999914946,3106.701475104137,2472.766535754214
cube320_t0022,48,2,2,HL,726.0,673.824056188873,948.5809683529866,700.9996122746127
cube320_t0022,48,1,3,B,27000.0,6656.136133062449,10343.520993063225,6605.968947325943
cube320_t0022,48,1,3,HS,2282.0,2475.4918892991377,3028.0179160022863,2428.613709866314
cube320_t0022,48,1,3,HL,718.0,684.2987168964869,862.4984631267001,668.7831903417028
cube320_t0022,64,1,0,B,27000.0,8263.844557756656,13029.983281096669,8217.190446416313
cube320_t0022,64,1,0,HS,2158.0,2696.0524306887046,3231.3872219948935,2625.4636161039516
cube320_t0022,64,1,0,HL,842.0,951.237111936784,1118.3987785273862,910.5230597232846
cube320_t0022,64,2,0,B,27000.0,8263.844557756656,13029.983281096669,8217.190446416313
cube320_t0022,64,2,0,HS,2158.0,2696.0524306887046,3231.3872219948935,2625.4636161039516
cube320_t0022,64,2,0,HL,842.0,951.237111936784,1118.3987785273862,910.5230597232846
cube320_t0022,64,4,0,B,27000.0,8263.844557756656,13029.983281096669,8217.190446416313
cube320_t0022,64,4,0,HS,2158.0,2696.0524306887046,3231.3872219948935,2625.4636161039516
cube320_t0022,64,4,0,HL,842.0,951.237111936784,1118.3987785273862,910.5230597232846
cube320_t0022,64,1,1,B,27000.0,7965.522077984227,12866.520494268414,8031.874003424038
cube320_t0022,64,1,1,HS,2140.0,2644.492208695029,3263.946265355492,2579.8810415388807
cube320_t0022,64,1,1,HL,860.0,952.3931157111135,1184.2202501987028,946.8124950736187
cube320_t0022,64,2,1,B,27000.0,7965.522077984227,12866.520494268414,8031.874003424038
cube320_t0022,64,2,1,HS,2140.0,2644.492208695029,3263.946265355492,2579.8810415388807
cube320_t0022,64,2,1,HL,860.0,952.3931157111135,1184.2202501987028,946.8124950736187
cube320_t0022,64,1,2,B,27000.0,8356.472447941298,13054.169628082858,8311.205334680482
cube320_t0022,64,1,2,HS,2188.0,2769.668225084155,3337.6156011430644,2699.67152481392
cube320_t0022,64,1,2,HL,812.0,903.4204088780818,1143.5404620882493,902.6542476640155
cube320_t0022,64,2,2,B,27000.0,8356.472447941298,13054.169628082858,8311.205334680482
cube320_t0022,64,2,2,HS,2188.0,2769.668225084155,3337.6156011430644,2699.67152481392
